FID,type,nombre,comuna,nombre_reg,nombre_com,Shape__Length,calle_join_key
216949,motorway,Autopista del Bosque,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,8892.6981757338,AUTOPISTA DEL BOSQUE
216950,motorway,Autopista del Bosque,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,8881.84294014214,AUTOPISTA DEL BOSQUE
217279,cycleway,Ciclovía Los Nogales,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,431.268580047472,CICLOVÍA LOS NOGALES
217281,service,,8105,REGIÓN DEL BIOBÍO,HUALQUI,323.31838498528,
217282,service,,8105,REGIÓN DEL BIOBÍO,HUALQUI,590.942112347277,
217283,service,,8105,REGIÓN DEL BIOBÍO,HUALQUI,166.823864513303,
217284,service,,8105,REGIÓN DEL BIOBÍO,HUALQUI,216.683449802446,
217285,service,,8105,REGIÓN DEL BIOBÍO,HUALQUI,354.92132067453,
217286,service,,8105,REGIÓN DEL BIOBÍO,HUALQUI,511.25938927796,
217287,secondary,Cañete - Cayucupil - Río Butamalal,8203,REGIÓN DEL BIOBÍO,CAÑETE,15353.9806160999,CAÑETE - CAYUCUPIL - RÍO BUTAMALAL
217288,living_street,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,87.1391891749482,
217289,primary,Diego Portales,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,690.679326651159,DIEGO PORTALES
217290,primary,Diego Portales,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,1590.55366111623,DIEGO PORTALES
217291,living_street,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,118.700275782839,
217292,residential,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,166.059124812373,
217293,living_street,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,193.55542695405,
217294,living_street,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,261.077273393802,
217295,residential,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,129.638226839628,
217296,living_street,,8206,REGIÓN DEL BIOBÍO,LOS ÁLAMOS,111.525154349811,
217297,living_street,,8109,REGIÓN DEL BIOBÍO,SANTA JUANA,284.165542091982,
217298,residential,,8109,REGIÓN DEL BIOBÍO,SANTA JUANA,102.237802505574,
217299,living_street,,8304,REGIÓN DEL BIOBÍO,LAJA,180.450789151256,
217300,tertiary,San Martín,8304,REGIÓN DEL BIOBÍO,LAJA,684.692109569119,SAN MARTÍN
217301,living_street,,8304,REGIÓN DEL BIOBÍO,LAJA,94.3129420303163,
217302,residential,,8304,REGIÓN DEL BIOBÍO,LAJA,79.5567533007407,
217303,living_street,,8304,REGIÓN DEL BIOBÍO,LAJA,119.031416788568,
217304,residential,,8304,REGIÓN DEL BIOBÍO,LAJA,348.34564743852,
217305,residential,,8304,REGIÓN DEL BIOBÍO,LAJA,165.81732188226,
217306,residential,,8304,REGIÓN DEL BIOBÍO,LAJA,357.060011169696,
217307,living_street,,8304,REGIÓN DEL BIOBÍO,LAJA,339.394648611944,
217308,residential,,8304,REGIÓN DEL BIOBÍO,LAJA,83.403670123858,
217309,living_street,,8304,REGIÓN DEL BIOBÍO,LAJA,163.84091793807,
217310,service,,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,333.613279911544,
217311,tertiary,Bombero Francisco Rioseco,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,1241.91533659537,BOMBERO FRANCISCO RIOSECO
217314,living_street,,8312,REGIÓN DEL BIOBÍO,TUCAPEL,161.796928828474,
217315,primary,General Baquedano,8407,REGIÓN DEL BIOBÍO,EL CARMEN,452.492177490471,GENERAL BAQUEDANO
217316,primary,General Baquedano,8407,REGIÓN DEL BIOBÍO,EL CARMEN,1678.49656600135,GENERAL BAQUEDANO
217317,secondary,Cruce N-777 (El Carmen) - Lomas Blancas - Cruce,8407,REGIÓN DEL BIOBÍO,EL CARMEN,10.2229502001637,CRUCE N-777 (EL CARMEN) - LOMAS BLANCAS - CRUCE
217318,primary,General Baquedano,8407,REGIÓN DEL BIOBÍO,EL CARMEN,195.101169193546,GENERAL BAQUEDANO
217319,primary,Avenida Arturo Prat,8411,REGIÓN DEL BIOBÍO,PINTO,181.615588460156,AVENIDA ARTURO PRAT
217320,tertiary,Sargento Aldea,8411,REGIÓN DEL BIOBÍO,PINTO,905.056382633009,SARGENTO ALDEA
217321,service,Unimarc,8402,REGIÓN DEL BIOBÍO,BULNES,128.733374623264,UNIMARC
217322,residential,Santa María,8402,REGIÓN DEL BIOBÍO,BULNES,826.678326933884,SANTA MARÍA
217334,primary,Bernardo O'Higgins,8413,REGIÓN DEL BIOBÍO,QUILLÓN,1394.30179784951,BERNARDO O'HIGGINS
217335,track,,8104,REGIÓN DEL BIOBÍO,FLORIDA,4304.66564244337,
217376,residential,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,174.642954265843,
217377,living_street,,8416,REGIÓN DEL BIOBÍO,SAN CARLOS,173.743875832538,
217687,pedestrian,Las Heras,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,142.828887748788,LAS HERAS
217688,residential,Ongolmo,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,4.45155376128333,ONGOLMO
217689,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,92.7657863340212,
217690,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,183.869958260548,
217691,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,24.9757218746057,
217692,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,41.2422605622291,
217693,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,14.7473984082668,
217694,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,15.5525656766386,
217695,service,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,17.7518159144239,
217696,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,11.1468084990723,
217697,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,19.5898744016526,
217698,service,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,19.3318325034241,
217699,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,10.3194412712996,
217700,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,3.89720209338569,
217701,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,24.2082597768829,
217702,service,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,16.1301470834145,
217703,footway,,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,27.9588324806635,
